title,singer,lyrics,link,year,genre
Tum Hi Ho,Arijit Singh,"Tere liye hum hai jiye, Har aansoo piye, Dil se juda na hue, Hum to seene mein, Dil ko chhupa ke...",https://genius.com/Arijit-singh-tum-hi-ho-lyrics,2013,Romantic
Channa Mereya,Arijit Singh,"Channa mereya mereya, Channa mereya mereya, Mehfil mein teri, Hum na rahe jo, Ghum to nahi hai...",https://genius.com/Arijit-singh-channa-mereya-lyrics,2016,Romantic
Swag Se Swagat,"Vishal Dadlani, Neha Bhasin","Swag se karenge sabka swagat, Swagat, Swag se karenge sabka swagat, Swagat, Dil se dil milake...",https://genius.com/Vishal-dadlani-swag-se-swagat-lyrics,2017,Pop
Dil Diyan Gallan,Atif Aslam,"Dil diyan gallan, Karange naal naal beh ke, Akhan naal akhan nu milake, Dil diyan gallan, Karange roz roz beh ke...",https://genius.com/Atif-aslam-dil-diyan-gallan-lyrics,2017,Romantic
Kal Ho Naa Ho,Sonu Nigam,"Har ghadi badal rahi hai roop zindagi, Chhav hai kahin, Kahin hai dhoop zindagi, Har pal yahan, Jee bhar jiyo...",https://genius.com/Sonu-nigam-kal-ho-naa-ho-lyrics,2003,Drama
Tujh Mein Rab Dikhta Hai,Roop Kumar Rathod,"Tujh mein rab dikhta hai, Yaara main kya karoon, Sajde sar jhukta hai, Yaara main kya karoon, Tujh mein rab dikhta hai...",https://genius.com/Roop-kumar-rathod-tujh-mein-rab-dikhta-hai-lyrics,2008,Romantic
Kabira,"Arijit Singh, Harshdeep Kaur","Kabira maan jaa, Kabira maan jaa, Aaja tujhko pukare teri parchaiyan, Kabira maan jaa, Kabira maan jaa...",https://genius.com/Arijit-singh-kabira-lyrics,2013,Drama
Raabta,Arijit Singh,"Kehte hain khuda ne, Is jahan mein sabhi ke liye, Kisi na kisi ko hai, Banaya har kisi ke liye, Raabta...",https://genius.com/Arijit-singh-raabta-lyrics,2012,Romantic
Ae Dil Hai Mushkil,Arijit Singh,"Ae dil hai mushkil, Mujhe aazmaati hai teri kami, Meri koshishen kamyaab hai, Ae dil hai mushkil, Phir kyun yeh...",https://genius.com/Arijit-singh-ae-dil-hai-mushkil-lyrics,2016,Romantic
Bulleya,Amit Mishra,"Bulleya ki jaana main kaun, Bulleya, Ki jaana main kaun, Na koi apna, Na koi begana, Bulleya...",https://genius.com/Amit-mishra-bulleya-lyrics,2016,Sufi Rock
Samjhawan,Arijit Singh,"Main tenu samjhawan ki, Na tere bina lagda jee, Main tenu samjhawan ki, Na tere bina lagda jee, Ki karaan...",https://genius.com/Arijit-singh-samjhawan-lyrics,2014,Romantic
Zaalima,"Arijit Singh, Harshdeep Kaur","Jo teri khatir tadpe pehle se hi kya use tadpana O Zaalima...",https://genius.com/Arijit-singh-zaalima-lyrics,2017,Romantic
Ghungroo,"Arijit Singh, Shilpa Rao","Ghungroo toot gaye, Haan ghungroo toot gaye, Phir se mohabbat karne chala hai tu, Ghungroo toot gaye, Mohabbat ka...",https://genius.com/Arijit-singh-ghungroo-lyrics,2019,Pop
Bekhayali,Sachet Tandon,"Bekhayali mein bhi tera hi khayal aaye, Bekhayali mein bhi tera hi khayal aaye, Kyun bichhadna hai zaroori, Yeh sawaal aaye...",https://genius.com/Sachet-tandon-bekhayali-lyrics,2019,Romantic
Tera Ban Jaunga,Akhil Sachdeva,"Tera ban jaunga, O tera ban jaunga, Tera ban jaunga, O tera ban jaunga, Main tera ban jaunga...",https://genius.com/Akhil-sachdeva-tera-ban-jaunga-lyrics,2019,Romantic
Jeene Laga Hoon,"Atif Aslam, Shreya Ghoshal","Jeene laga hoon, Pehle se zyada, Pehle se zyada, Tumpe marne laga hoon, Jeene laga hoon...",https://genius.com/Atif-aslam-jeene-laga-hoon-lyrics,2013,Romantic
Tera Hone Laga Hoon,Atif Aslam,"Shining in the setting sun, Like a pearl upon the ocean, Come and feel me, O feel me, Shining in the...",https://genius.com/Atif-aslam-tera-hone-laga-hoon-lyrics,2009,Romantic
Phir Le Aaya Dil,Arijit Singh,"Phir le aaya dil, Majboor kya keeje, Phir le aaya dil, Majboor kya keeje, Mann ki baatein sunta nahi...",https://genius.com/Arijit-singh-phir-le-aaya-dil-lyrics,2012,Drama
Tera Yaar Hoon Main,Arijit Singh,"Tera yaar hoon main, Tera yaar hoon main, Roke na ruke naina, Teri ore hai inhein rehna...",https://genius.com/Arijit-singh-tera-yaar-hoon-main-lyrics,2018,Friendship
Tum Mile,Neeraj Shridhar,"Tum mile to mil gaya hai sukoon, Tum mile to mil gaya hai sukoon, Tum mile to kho gaya hai junoon...",https://genius.com/Neeraj-shridhar-tum-mile-lyrics,2009,Romantic
Khuda Jaane,"K.K., Shilpa Rao","Khuda jaane ke main fida hoon, Khuda jaane ke main fida hoon, Khuda jaane main mit gaya hoon, Khuda jaane...",https://genius.com/Kk-khuda-jaane-lyrics,2008,Romantic
Soch Na Sake,Arijit Singh,"Soch na sake, Tere bina kaisa jeena, Soch na sake, Tere bina kaisa jeena, Tu hai to mujh mein hai...",https://genius.com/Arijit-singh-soch-na-sake-lyrics,2016,Romantic
Jab Tak,Armaan Malik,"Jab tak tujhe, Pyar se beinteha main bhar na doon, Jab tak tujhe, Pyar se beinteha main bhar na doon...",https://genius.com/Armaan-malik-jab-tak-lyrics,2016,Romantic
Agar Tum Saath Ho,"Arijit Singh, Alka Yagnik","Agar tum saath ho, Behti rahe nadiya sa, Agar tum saath ho, Behti rahe nadiya sa, Tum toh thehre pardesi...",https://genius.com/Arijit-singh-agar-tum-saath-ho-lyrics,2015,Romantic
Pal,"Arijit Singh, Shreya Ghoshal","Pal bhar theher jao, Dil ye sambhal jaaye, Pal bhar theher jao, Dil ye sambhal jaaye, Kaise tumhe roka karoon...",https://genius.com/Arijit-singh-pal-lyrics,2018,Romantic
Khairiyat,Arijit Singh,"Khairiyat pucho, Kabhi to kaifiyat pucho, Tumhe humari fikar hai ya nahi, Khairiyat pucho, Kabhi to kaifiyat pucho...",https://genius.com/Arijit-singh-khairiyat-lyrics,2019,Romantic
Nashe Si Chadh Gayi,Arijit Singh,"Nashe si chadh gayi, Oye nashe si chadh gayi, Nashe si chadh gayi, Oye nashe si chadh gayi, Dil mera...",https://genius.com/Arijit-singh-nashe-si-chadh-gayi-lyrics,2016,Dance
Raatan Lambiyan,"Jubin Nautiyal, Asees Kaur","Raatan lambiyan lambiyan re, Kate tere sangeya sangeya re, Raatan lambiyan lambiyan re, Kate tere sangeya sangeya re...",https://genius.com/Jubin-nautiyal-raatan-lambiyan-lyrics,2021,Romantic
Shayad,Arijit Singh,"Shayad kabhi na keh sakoon main tumko, Shayad kabhi na keh sakoon main tumko, Shayad kabhi na keh sakoon...",https://genius.com/Arijit-singh-shayad-lyrics,2020,Romantic
Galliyan,Ankit Tiwari,"Teri galliyan, Galliyan teri galliyan, Teri galliyan, Galliyan teri galliyan, Yoon chalun teri aaron mein...",https://genius.com/Ankit-tiwari-galliyan-lyrics,2014,Romantic
